link,sha
https://github.com/fuxiAIlab/CivAgent,20d1e12912da4f7c1d682fcae847f643720dd384
https://github.com/AndrewRPorter/flask-react-nginx,24f2bcfcdcd129dae0950b9e2906dfbc96b7cd45
https://github.com/AOSSIE-Org/Social-Street-Smart,ff947c781720e31ae1638d180c55a6c810204e25
https://github.com/kupl/PyTER,a800d4dbaf63d5959ac5fab8fcbf3b7d3626d3b8
https://github.com/alisharify7/flask_captcha2,1c695cdbcb22202f57b93b2d163e6e5367e59631
https://github.com/kajarosz/bookstore-stock-manager,5f6836e201de5c13240bf80c1b28cdfcc7670b4a
https://github.com/modeemi/website,d6ad8b472934e847588d4866635a930b36df9593
https://github.com/cemsbv/py-pilecore,a5a0ca24db42c601a55dc1509201902adb9ed915
https://github.com/znsio/specmatic-python-extensions,b01ceba4cfa6834813f2da98f2f3494466470b29
https://github.com/TheDataLeek/HadoopInspector,ae5c2f7eaa39f2dae9d98498c581bd22975600a9
https://github.com/OliverDrechsler/front_door_intercom_automation,a3231d61fc605cc3e292c399a57b3a34442c525f
https://github.com/cern1710/inland-empire,1161a346ae2a8228d561ec7330c076a2f2ad4183
https://github.com/KajaBraz/ChatBox,4484f0f75fa724f6133f441c9ba362cc53ac19b4
https://github.com/hovey/pyschool,32cfc52abf1fa665cac8453f1a1608b20b0c901b
https://github.com/Gia-Corp/TheMovieProject,5a4a44ee00e23cfe6eb5479a48614548c5e59069
https://github.com/clchinkc/SecureEncoder,7b843c0308317d41134bda026375369c23901c82
https://github.com/ChapSpace/CourseConstrainSolverBackend,6917506441e6cfd082dd4af85178e99438092a65
https://github.com/Vindhyaa-Saravanan/Vertex-Sports-Centre-Software,f40c50a5ffddf57cea14592b324a34224375b345
https://github.com/andreax79/airflow-code-editor,b6fc30171b50b3e7f4bfab098dde5294fa052211
https://github.com/twynb/AudioStreamSplitting,4ee0e5e55226dcf5629b995cfbb4c8cfc146796d
https://github.com/kizniche/Mycodo,86288ca38eb94aeb88f113509de9fee156eeda6c
https://github.com/voxpupuli/puppetboard,b68b6c8e5b39a6d22872404c42cc00b2bbd544a9
https://github.com/geopython/pygeoapi,179c90ff31261c4dedeeda103a85e839ceef20f2
https://github.com/fedora-copr/copr,0a9e16ed9726dab0b6e5be7a5620565aef23aa81
https://github.com/ArthurMitchell42/nutcase,e521f3c1a745457da7853ff1836cd0cc33d827ba
https://github.com/cs91chris/flaskel,71449735caade97e65f040f3cf59f905834d0ed2
https://github.com/academic-resources/stared-repos,1c316a2490254752b452119e70e876bd2e5a5d45
https://github.com/eventcally/eventcally,eda2f9e7048a3095dc5d56b05e19436052f3659d
https://github.com/hackabit19/Apes_together_strong,9648680e1656dc9ef4a36a7011ea8bc2b7c71104
https://github.com/townsag/Jasper,cdf61364e014a8dcd94846fef8c0e1248d67af11
https://github.com/Saket-Upadhyay/SkyDaddy,85ef438593cc14aaf333a6039732a74df31000f0
https://github.com/sshuttle/sshuttle,834ac02a5dfa5ddc425f5cfa44e36ea45dfea333
https://github.com/PaulMcInnis/JobFunnel,245a359e784500b71b2d4eb31f5c682ae5bd060d
https://github.com/pgjones/hypercorn,84d06b8cf47798d2df7722273341e720ec0ea102
https://github.com/miso-belica/sumy,d31ead33831275c0e8d595f69174d9f129f8944a
https://github.com/adafruit/Adafruit_CircuitPython_Requests,2db92cd8f5cd7ba37ad187b67980574dd71b39c8
https://github.com/eternnoir/pyTelegramBotAPI,8ba533aee607fdb48fc53c10b56601eca4c7418d
https://github.com/LonamiWebs/Telethon,946f803de71612af20b1fe9f32ff1a2a23068f22
https://github.com/TkTech/pysimdjson,f68fc03b0caf6fde5080697570c1a786c9a23632
https://github.com/duffelhq/duffel-api-python,fad434467a6e41079a860d729d8661ab7a047bf8
https://github.com/star-whale/starwhale,9a49d40d531b0399836478b864a8709ade4ab08d
https://github.com/sergiocorreia/panflute,25c3924d677ca29fd1df97e9593ae30b8b07887c
https://github.com/Marley-Mulvin-Broome/JapaneseFrequencyProcessor,58443a6781d57865bcb1e428771feab853ec1a97
